"variable","comparison","treatment","n.trt","inoc","emmean","SE","df","lower.CL","upper.CL",".group","compact","response"
"nmass","full","ln_ni","ln","ni",3.270625,0.121461393793632,32.5714285714286,3.02338635488688,3.51786364511312,"a","a",NA
"nmass","full","ln_yi","ln","yi",4.6384375,0.121461393793632,32.5714285714286,4.39119885488688,4.88567614511312,"b","b",NA
"nmass","full","hn_ni","hn","ni",5.34043750000001,0.121461393793632,32.5714285714289,5.09319885488689,5.58767614511313,"c","c",NA
"nmass","full","hn_yi","hn","yi",5.437875,0.121461393793632,32.5714285714286,5.19063635488688,5.68511364511312,"c","c",NA
"nmass","n.trt",NA,"ln",NA,3.95453125,0.0858861752038466,11.4,3.76630315190719,4.14275934809281,"a","a",NA
"nmass","n.trt",NA,"hn",NA,5.38915625,0.0858861752038467,11.4000000000001,5.20092815190719,5.57738434809281,"b","b",NA
"nmass","inoc",NA,NA,"ni",4.30553125,0.0858861752038467,11.4000000000001,4.11730315190719,4.49375934809281,"a","a",NA
"nmass","inoc",NA,NA,"yi",5.03815625,0.0858861752038466,11.4,4.84992815190719,5.22638434809281,"b","b",NA
"sla","full","ln_ni","ln","ni",524.941774162067,14.5545025888057,20.8407184556773,494.659937213609,555.223611110525,"a","a",NA
"sla","full","hn_ni","hn","ni",563.210196948603,14.5545025888057,20.8407184556772,532.928360000144,593.492033897061,"ab","ab",NA
"sla","full","ln_yi","ln","yi",574.684389842948,14.5545025888057,20.8407184556772,544.40255289449,604.966226791407,"ab","ab",NA
"sla","full","hn_yi","hn","yi",582.428720368831,14.5545025888057,20.8407184556772,552.146883420373,612.71055731729,"b","b",NA
"sla","n.trt",NA,"ln",NA,549.813082002508,10.9481720852873,7.73931818984839,524.417764185329,575.208399819687,"a","a",NA
"sla","n.trt",NA,"hn",NA,572.819458658717,10.9481720852873,7.73931818984838,547.424140841538,598.214776475896,"a","a",NA
"sla","inoc",NA,NA,"ni",544.075985555335,10.9481720852873,7.73931818984839,518.680667738156,569.471303372514,"a","a",NA
"sla","inoc",NA,NA,"yi",578.55655510589,10.9481720852873,7.73931818984839,553.161237288711,603.951872923069,"b","b",NA
"narea","full","ln_ni","ln","ni",0.817320996663961,0.038824551410648,7.67990781388228,0.727137721573054,0.907504271754868,"a","a",NA
"narea","full","ln_yi","ln","yi",0.978063920649546,0.0381752913641711,7.21703076218144,0.888341096707425,1.06778674459167,"b","b",NA
"narea","full","hn_yi","hn","yi",1.1516614536544,0.038824551410648,7.67990781388229,1.06147817856349,1.24184472874531,"c","c",NA
"narea","full","hn_ni","hn","ni",1.19805046090656,0.0381752913641711,7.21703076218145,1.10832763696444,1.28777328484868,"c","c",NA
"narea","n.trt",NA,"ln",NA,0.897692458656754,0.0333941399262937,4.28769183216579,0.807378130567234,0.988006786746273,"a","a",NA
"narea","n.trt",NA,"hn",NA,1.17485595728048,0.0333941399262937,4.28769183216579,1.08454162919096,1.26517028537,"b","b",NA
"narea","inoc",NA,NA,"ni",1.00768572878526,0.0333941399262937,4.2876918321658,0.91737140069574,1.09800005687478,"a","a",NA
"narea","inoc",NA,NA,"yi",1.06486268715197,0.0333941399262937,4.28769183216579,0.974548359062454,1.15517701524149,"b","b",NA
"total.leaf.area","full","ln_ni","ln","ni",519.1575625,30.5332474219777,32.5714285714282,457.006137362071,581.308987637929,"a","a",NA
"total.leaf.area","full","ln_yi","ln","yi",829.214625,30.5332474219777,32.5714285714282,767.063199862071,891.366050137929,"b","b",NA
"total.leaf.area","full","hn_ni","hn","ni",1170.49425,30.5332474219777,32.5714285714282,1108.34282486207,1232.64567513793,"c","c",NA
"total.leaf.area","full","hn_yi","hn","yi",1222.200625,30.5332474219777,32.5714285714282,1160.04919986207,1284.35205013793,"c","c",NA
"total.leaf.area","n.trt",NA,"ln",NA,674.18609375,21.5902663037271,11.3999999999999,626.868877049845,721.503310450155,"a","a",NA
"total.leaf.area","n.trt",NA,"hn",NA,1196.3474375,21.5902663037271,11.3999999999999,1149.03022079984,1243.66465420015,"b","b",NA
"total.leaf.area","inoc",NA,NA,"ni",844.825906249999,21.5902663037271,11.3999999999999,797.508689549845,892.143122950154,"a","a",NA
"total.leaf.area","inoc",NA,NA,"yi",1025.707625,21.5902663037271,11.3999999999999,978.390408299845,1073.02484170015,"b","b",NA
"a400","full","hn_ni","hn","ni",9.3678519905625,0.64710158190913,32.5714285714279,8.05065552702119,10.6850484541038,"a","b",NA
"a400","full","hn_yi","hn","yi",10.2098185524375,0.64710158190913,32.5714285714285,8.8926220888962,11.5270150159788,"ab","ab",NA
"a400","full","ln_ni","ln","ni",12.3452503503125,0.64710158190913,32.5714285714285,11.0280538867712,13.6624468138538,"b","a",NA
"a400","full","ln_yi","ln","yi",12.3804885938125,0.64710158190913,32.5714285714286,11.0632921302712,13.6976850573538,"b","a",NA
"a400","n.trt",NA,"hn",NA,9.7888352715,0.457569916684488,11.3999999999999,8.7860252737607,10.7916452692393,"a","b",NA
"a400","n.trt",NA,"ln",NA,12.3628694720625,0.457569916684488,11.4,11.3600594743232,13.3656794698018,"b","a",NA
"a400","inoc",NA,NA,"ni",10.8565511704375,0.457569916684488,11.3999999999999,9.8537411726982,11.8593611681768,"a","a",NA
"a400","inoc",NA,NA,"yi",11.295153573125,0.457569916684488,11.4,10.2923435753857,12.2979635708643,"a","a",NA
"vcmax25","full","hn_ni","hn","ni",56.5452077146449,3.67462965039733,32.5714285714276,49.0653787115269,64.0250367177628,"a","a",NA
"vcmax25","full","hn_yi","hn","yi",62.7857452973138,3.67462965039734,32.5714285714286,55.3059162941959,70.2655743004318,"a","a",NA
"vcmax25","full","ln_yi","ln","yi",66.9082121262492,3.67462965039734,32.5714285714286,59.4283831231312,74.3880411293671,"a","a",NA
"vcmax25","full","ln_ni","ln","ni",67.6334922556582,3.67462965039734,32.5714285714286,60.1536632525402,75.1133212587761,"a","a",NA
"vcmax25","n.trt",NA,"hn",NA,59.6654765059794,2.59835554414511,11.3999999999999,53.9709218109714,65.3600312009873,"a","b",NA
"vcmax25","n.trt",NA,"ln",NA,67.2708521909537,2.59835554414511,11.4,61.5762974959457,72.9654068859617,"b","a",NA
"vcmax25","inoc",NA,NA,"ni",62.0893499851515,2.59835554414511,11.3999999999999,56.3947952901435,67.7839046801595,"a","a",NA
"vcmax25","inoc",NA,NA,"yi",64.8469787117815,2.59835554414511,11.4,59.1524240167735,70.5415334067895,"a","a",NA
"jmax25","full","hn_ni","hn","ni",59.513030658043,3.8092585035391,25.5469245642198,51.6762235234614,67.3498377926246,"a","a",NA
"jmax25","full","hn_yi","hn","yi",69.2639977710903,3.8092585035391,25.5469245642198,61.4271906365087,77.1008049056719,"a","a",NA
"jmax25","full","ln_ni","ln","ni",71.7256376027088,3.8092585035391,25.5469245642198,63.8888304681272,79.5624447372904,"a","a",NA
